1	4015	0.72
4015	1	0.72
2565	5	0.9
5	2565	0.9
2565	6	0.9
6	2565	0.9
2565	7	0.899
7	2565	0.899
2565	148	0.899
148	2565	0.899
2565	4015	0.899
4015	2565	0.899
2565	2657	0.899
2657	2565	0.899
2565	11	0.899
11	2565	0.899
2565	2659	0.899
2659	2565	0.899
2565	2660	0.899
2660	2565	0.899
2565	3530	0.899
3530	2565	0.899
2565	2695	0.899
2695	2565	0.899
2565	3832	0.899
3832	2565	0.899
2565	2662	0.899
2662	2565	0.899
2565	2665	0.899
2665	2565	0.899
2565	2670	0.899
2670	2565	0.899
2565	2673	0.899
2673	2565	0.899
2565	3837	0.899
3837	2565	0.899
2565	2676	0.899
2676	2565	0.899
2565	17	0.9
17	2565	0.9
2565	152	0.899
152	2565	0.899
5866	25	0.72
25	5866	0.72
5866	415	0.9
415	5866	0.9
5866	29	0.72
29	5866	0.72
5866	30	0.72
30	5866	0.72
5866	6039	0.72
6039	5866	0.72
5866	33	0.72
33	5866	0.72
5866	2819	0.72
2819	5866	0.72
5866	111	0.72
111	5866	0.72
5866	40	0.72
40	5866	0.72
5866	4016	0.72
4016	5866	0.72
5866	42	0.72
42	5866	0.72
5866	43	0.72
43	5866	0.72
5866	117	0.72
117	5866	0.72
5866	58	0.72
58	5866	0.72
5866	2661	0.72
2661	5866	0.72
5866	2668	0.72
2668	5866	0.72
5866	3924	0.72
3924	5866	0.72
5866	121	0.72
121	5866	0.72
5866	3835	0.72
3835	5866	0.72
5866	122	0.72
122	5866	0.72
5866	661	0.9
661	5866	0.9
5866	3838	0.72
3838	5866	0.72
5866	127	0.72
127	5866	0.72
5866	128	0.72
128	5866	0.72
5866	89	0.72
89	5866	0.72
5866	2681	0.72
2681	5866	0.72
5866	2682	0.72
2682	5866	0.72
5866	4641	0.72
4641	5866	0.72
24	415	0.899
415	24	0.899
24	6039	0.72
6039	24	0.72
24	2819	0.72
2819	24	0.72
24	111	0.72
111	24	0.72
24	4016	0.72
4016	24	0.72
24	117	0.72
117	24	0.72
24	2661	0.72
2661	24	0.72
24	2668	0.72
2668	24	0.72
